Year,Average Interest Rate,Average Inflation Rate,Year-In Interest Rate Change,Year-In Inflation Rate Change
1982,6.935833333333334,7.683333333333333,-1.7400000000000002,-4.98
1983,5.8875,3.705833333333333,0.6100000000000003,-0.23000000000000043
1984,6.639166666666667,4.833333333333333,-0.13999999999999968,0.5599999999999996
1985,5.66,4.930833333333333,-1.08,0.2999999999999998
1986,4.0475,5.001666666666667,-1.0099999999999998,-0.6499999999999995
1987,4.2175,4.319166666666667,0.98,-0.1800000000000006
1988,4.454166666666667,4.5874999999999995,0.009999999999999787,0.41999999999999993
1989,4.404166666666667,4.780833333333334,-0.8300000000000001,0.08000000000000007
1990,4.320833333333334,5.4558333333333335,-0.23999999999999977,0.75
1991,3.935,4.949999999999999,-0.5099999999999998,-1.4699999999999998
1992,3.3825000000000003,3.785833333333333,0.3099999999999996,-0.5700000000000003
1993,2.7125,3.5075000000000007,-0.5499999999999998,0.010000000000000231
1994,3.535,3.2725000000000004,1.35,-0.45999999999999996
1995,3.308333333333333,3.3183333333333334,-1.52,0.23999999999999977
1996,3.1408333333333336,3.098333333333334,0.30000000000000027,-0.2200000000000002
1997,3.1991666666666667,2.755833333333333,-0.33000000000000007,-0.2799999999999998
1998,2.6266666666666665,2.61,-0.6099999999999999,-0.23999999999999977
1999,2.8874999999999997,2.1791666666666667,0.8799999999999999,-0.20999999999999996
2000,3.1166666666666667,2.6891666666666665,-0.77,0.6299999999999999
2001,2.2374999999999994,3.233333333333333,-0.20999999999999996,0.69
2002,2.0333333333333328,3.2358333333333333,-0.8300000000000001,-0.77
2003,1.4458333333333335,2.330833333333333,0.21999999999999997,-0.81
2004,1.7008333333333334,2.22,0.20999999999999996,0.3500000000000001
2005,1.890833333333333,2.3149999999999995,0.24,0.15000000000000036
2006,2.2833333333333337,2.9258333333333333,0.06000000000000005,0.6699999999999999
2007,2.0399999999999996,2.7624999999999997,-0.76,-0.43999999999999995
2008,1.3033333333333335,2.8366666666666664,-0.41999999999999993,-0.1200000000000001
2009,1.0475,1.986666666666667,-0.08999999999999997,-1.2299999999999998
2010,0.8708333333333335,0.8408333333333333,-0.67,-0.33999999999999997
2011,0.5241666666666666,1.4658333333333333,-0.72,1.0899999999999999
2012,-0.013333333333333329,2.1708333333333334,-0.32,-0.010000000000000231
2013,0.28833333333333333,1.9458333333333337,0.33999999999999997,-0.19999999999999973
2014,0.6108333333333333,1.9766666666666666,-0.30000000000000004,0.1499999999999999
2015,0.5891666666666667,2.1675000000000004,-0.05999999999999994,0.44999999999999996
2016,0.42166666666666663,2.565,-0.030000000000000027,0.11999999999999966
2017,0.7275,2.2600000000000002,-0.16000000000000003,-0.5300000000000002
2018,1.1566666666666667,2.4191666666666665,0.38,0.28000000000000025
2019,0.535,2.5258333333333334,-0.53,0.3400000000000003
2020,-0.11833333333333333,2.224166666666667,-0.74,-1.1
2021,-0.03166666666666667,2.438333333333333,0.32999999999999996,1.9700000000000002
2022,1.06,5.451666666666667,1.26,2.64
2023,0.7749999999999999,3.1283333333333334,-0.72,-0.9199999999999999
